username,alessandro,barbara,ciro,giovanna,lavi,livia,luca,mara,marco,maurizio,pietro,rluzist1,shadow2030,tommaso
marco,0.06046360969543457,0.1387708568572998,0.07361498832702637,0.08355744361877442,0.2578332874599834,0.07833305358886719,0.10563088417053222,0.08216901779174805,0.028945934772491456,0.22571252822875976,0.07084015846252441,0.09122027397155762,0.06855339050292969,0.06609144210815429
tommaso,0.045420441627502445,0.11977602005004882,0.03654479265213013,0.06737619400024414,0.2578332874599834,0.06785406589508057,0.08383691787719727,0.04123292922973633,0.047921342849731444,0.19790660858154296,0.04361079692840576,0.04445993900299072,0.05580281257629394,0.022054200172424317
tommaso,0.05398564338684082,0.1175468349456787,0.038172883987426756,0.0777784252166748,0.2578332874599834,0.07793803691864014,0.08689532279968262,0.04177199363708496,0.05941395282745361,0.1849111557006836,0.045821008682250974,0.04292611598968506,0.05638052940368652,0.033698036670684814
tommaso,0.04719376087188721,0.12357867240905762,0.04347177028656006,0.07368555545806885,0.2578332874599834,0.07037864685058594,0.0897109031677246,0.045263147354125975,0.05764870166778564,0.20503047943115235,0.05436081409454346,0.06064133644104004,0.06587618827819824,0.029224691390991212
tommaso,0.048902487754821776,0.11982996940612793,0.04040520668029785,0.0720078182220459,0.2578332874599834,0.06774535179138183,0.08923342704772949,0.0447761344909668,0.05740246772766113,0.20133419036865235,0.05389719009399414,0.05758885860443115,0.06328627586364746,0.02447270631790161
tommaso,0.04445916175842285,0.1217246150970459,0.03983688116073608,0.0712075138092041,0.2578332874599834,0.07007897853851318,0.08821297645568847,0.042231235504150394,0.05256051540374756,0.20093008041381835,0.04779404640197754,0.06023049354553223,0.060428013801574705,0.027016909122467042
tommaso,0.04601169109344482,0.12407167434692383,0.038389458656311035,0.07551043510437011,0.2578332874599834,0.07175428867340088,0.09191786766052246,0.04502174854278564,0.057347440719604494,0.20188735961914062,0.053831787109375,0.05977818965911865,0.06345746994018554,0.024848783016204835
tommaso,0.04879436492919922,0.1366740322113037,0.053703112602233885,0.08326128005981445,0.2578332874599834,0.0775058364868164,0.10007614135742188,0.05729903697967529,0.0569938325881958,0.20732009887695313,0.058983688354492185,0.07473573207855225,0.06550184726715087,0.03704811334609985
tommaso,0.05213776111602783,0.12264412879943848,0.04282345771789551,0.07741387367248535,0.2578332874599834,0.07472442626953125,0.09476451873779297,0.04530804634094238,0.05743624210357666,0.19491350173950195,0.05223151683807373,0.06056311130523682,0.059133415222167966,0.02980504751205444
tommaso,0.05723417282104492,0.1224913501739502,0.04862756729125976,0.08777111053466796,0.2578332874599834,0.07339376449584961,0.10396658897399902,0.05604459285736084,0.061876049041748045,0.20049327850341797,0.0616489839553833,0.07306612491607666,0.06993566513061523,0.04089522361755371
giovanna,0.05101861953735352,0.10491239547729492,0.05304341316223145,0.052340149879455566,0.2578332874599834,0.04122879505157471,0.058224339485168454,0.07287535190582276,0.06345075130462646,0.1856844139099121,0.05993035316467285,0.07603875160217285,0.059675407409667966,0.05346429824829101
