username,predicted_user,score
tommaso,tommaso,0.014289993047714233
tommaso,tommaso,0.023835358619689943
tommaso,tommaso,0.016416447162628175
tommaso,tommaso,0.023768181800842284
tommaso,tommaso,0.024913840293884278
tommaso,tommaso,0.025525166988372802
tommaso,tommaso,0.015623174905776978
tommaso,tommaso,0.016994242668151856
tommaso,tommaso,0.039368996620178225
tommaso,tommaso,0.05011721611022949
tommaso,tommaso,0.019585977792739868
tommaso,tommaso,0.021313533782958985
tommaso,tommaso,0.018465825319290162
tommaso,tommaso,0.029601595401763915
tommaso,tommaso,0.015473002195358276
tommaso,tommaso,0.026068103313446046
tommaso,tommaso,0.019950186014175416
tommaso,tommaso,0.0261086106300354
tommaso,tommaso,0.026054906845092773
tommaso,tommaso,0.05685299873352051
tommaso,tommaso,0.018314932584762574
tommaso,tommaso,0.024933826923370362
tommaso,tommaso,0.021387414932250978
tommaso,tommaso,0.04531291961669922
tommaso,tommaso,0.020975935459136962
tommaso,tommaso,0.023625521659851073
tommaso,tommaso,0.02391801595687866
tommaso,tommaso,0.025178167819976807
tommaso,tommaso,0.028217868804931642
tommaso,tommaso,0.018248177766799926
tommaso,tommaso,0.016518557071685792
tommaso,tommaso,0.03167649507522583
tommaso,tommaso,0.024653465747833253
tommaso,tommaso,0.02648942470550537
tommaso,tommaso,0.024634590148925783
tommaso,tommaso,0.019468287229537962
rluzist1,rluzist1,0.03060067892074585
rluzist1,rluzist1,0.03462973833084106
rluzist1,tommaso,0.05880722045898437
rluzist1,rluzist1,0.02976485013961792
rluzist1,rluzist1,0.03125002384185791
rluzist1,tommaso,0.04184997081756592
rluzist1,tommaso,0.037766597270965575
tommaso,tommaso,0.03383556842803955
rluzist1,tommaso,0.033482661247253416
tommaso,tommaso,0.024634590148925783
maurizio,maurizio,0.1914276123046875
maurizio,maurizio,0.2789182472229004
maurizio,maurizio,0.11859243392944335
maurizio,maurizio,0.064932222366333
maurizio,maurizio,0.14449047088623046
barbara,barbara,0.08535967826843262
barbara,barbara,0.08927244186401367
barbara,barbara,0.058761000633239746
barbara,barbara,0.08569352149963379
barbara,barbara,0.05433265686035156
livia,livia,0.04404962539672851
livia,livia,0.040166106224060055
livia,livia,0.026587886810302733
livia,livia,0.0341677713394165
livia,livia,0.06711899280548096

tommaso,tommaso,0.023550729751586914
mara ,mara,0.03459693908691406
tommaso,tommaso,0.01889356255531311
ciro,ciro,0.030683460235595702
tommaso,tommaso,0.02954654932022095
pietro,pietro,0.034834127426147464
tommaso,tommaso,0.03149465799331665
marco,marco,0.03656962871551514

marco,marco,0.028945934772491456

tommaso,tommaso,0.022054200172424317
tommaso,tommaso,0.033698036670684814
tommaso,tommaso,0.029224691390991212
tommaso,tommaso,0.02447270631790161
tommaso,tommaso,0.027016909122467042
tommaso,tommaso,0.024848783016204835
tommaso,tommaso,0.03704811334609985
tommaso,tommaso,0.02980504751205444
tommaso,tommaso,0.04089522361755371
giovanna,livia,0.04122879505157471
giovanna,livia,0.035382566452026365
giovanna,alessandro,0.041837849617004395
tommaso,tommaso,0.03604543924331665
tommaso,tommaso,0.02129675626754761
tommaso,tommaso,0.03163256168365478
giovanna,livia,0.035879704952239994
tommaso,tommaso,0.04153704643249512
luca,luca,0.07392279148101806
luca,luca,0.03192632913589478
luca,luca,0.08176742553710938
giovanna,barbara,0.10970180511474609
giovanna,marco,0.03137624502182007
giovanna,pietro,0.030781114101409913
giovanna,marco,0.03043316602706909
giovanna,marco,0.03183162689208984
giovanna,marco,0.029553000926971437
tommaso,tommaso,0.02663954973220825
marco,marco,0.0236735200881958

barbara,barbara,0.06999618530273438

barbara,barbara,0.053383769989013674

barbara,barbara,0.07015387058258056

barbara,barbara,0.07060689449310303

barbara,barbara,0.0852873420715332

marco,marco,0.01561684489250183

marco,marco,0.028306703567504882

marco,marco,0.017366113662719725

marco,marco,0.024551613330841063

marco,marco,0.02220207929611206

pietro,pietro,0.09265061378479005

marco,marco,0.02224247932434082

marco,marco,0.025489797592163087

marco,marco,0.032205090522766114
marco,marco,0.025616087913513184
marco,marco,0.02621426582336426
marco,marco,0.02536341905593872
marco,marco,0.01722061038017273
maurizio,barbara,0.13692965507507324
maurizio,maurizio,0.11469878196716309
maurizio,maurizio,0.12028216361999512
maurizio,maurizio,0.0754330062866211
maurizio,maurizio,0.10022085189819335
maurizio,maurizio,0.13140928268432617
lavi,lavi,0.02142726182937622
lavi,lavi,0.03051318407058716
lavi,lavi,0.021157774925231933
marco,marco,0.03172509431838989
lavi,lavi,0.02617344617843628
lavi,lavi,0.026249089241027833
lavi,lavi,0.02218632698059082
marco,marco,0.02764845609664917

marco,marco,0.03174274206161499

marco,marco,0.0259238600730896

marco,marco,0.026932175159454345

marco,marco,0.023164021968841552

marco,marco,0.021079070568084717

marco,marco,0.02924834966659546

marco,shadow2030,0.04865247249603272

marco,marco,0.040986242294311526

marco,marco,0.10712455749511719

marco,marco,0.04025934219360352

marco,marco,0.04177783966064453

marco,marco,0.03452237129211426

marco,marco,0.025482141971588136

marco,marco,0.03885233163833618

rluzist1,rluzist1,0.051128358840942384
rluzist1,mara,0.03412848234176636
rluzist1,rluzist1,0.03577573299407959
rluzist1,ciro,0.03489983558654785
rluzist1,ciro,0.035613586902618406
rluzist1,ciro,0.03773249864578247
rluzist1,ciro,0.035907258987426756
rluzist1,rluzist1,0.02633679151535034
rluzist1,tommaso,0.04254874706268311
rluzist1,rluzist1,0.03311838150024414
rluzist1,ciro,0.03980826377868652
rluzist1,ciro,0.046643667221069336
rluzist1,ciro,0.037949233055114745
tommaso,tommaso,0.018961308002471925
tommaso,tommaso,0.02808665990829468
tommaso,tommaso,0.02961944580078125
marco,marco,0.02947199821472168
marco,marco,0.020767974853515624
marco,marco,0.019063905477523804
marco,marco,0.021083550453186037
marco,marco,0.02448007106781006
marco,marco,0.04338794708251953
