username,alessandro,barbara,ciro,giovanna,lavi,livia,luca,mara,marco,maurizio,pietro,rluzist1,shadow2030,tommaso
marco,4.627191467285156,-2.4011581420898436,7.179783935546875,4.862543029785156,-5.330140380859375,5.139869384765625,3.2278082275390627,2.2096432495117186,10.925601806640625,-2.5504721069335936,7.459180297851563,3.03103759765625,5.755858764648438,6.564161987304687
tommaso,7.624664916992187,-2.330140380859375,9.6409326171875,7.539705200195312,-5.330140380859375,6.887061767578125,5.7068939208984375,5.485040893554688,8.41008544921875,-1.2969070434570313,10.047647094726562,8.167689819335937,6.764669189453125,10.486768798828125
tommaso,6.690330810546875,-2.459310760498047,9.165694580078124,6.3657989501953125,-5.330140380859375,6.1169482421875,5.320911254882812,5.17146484375,7.569935302734375,-1.201342315673828,9.676071166992188,7.0429541015625,6.747071533203125,9.8888134765625
tommaso,6.708564453125,-2.5506141662597654,9.328333740234376,6.550555419921875,-5.330140380859375,6.15163330078125,5.366461181640625,5.291556396484375,7.4939208984375,-1.9740232849121093,9.271302490234374,7.681077270507813,5.832659301757812,10.110138549804688
tommaso,6.391736450195313,-2.432077178955078,9.4578076171875,6.867756958007813,-5.330140380859375,6.490137939453125,5.381569213867188,5.471870727539063,7.549302368164063,-2.064950408935547,9.3346044921875,7.7000274658203125,6.433685302734375,10.402733154296875
tommaso,7.318203125,-2.4146659851074217,9.347828369140625,6.931183471679687,-5.330140380859375,6.05394287109375,5.495755004882812,5.369572143554688,8.131907348632813,-1.4059999084472656,9.415701293945313,7.261329345703125,6.4646875,10.248037109375
tommaso,6.969962158203125,-2.542549743652344,9.682832641601562,6.63670654296875,-5.330140380859375,6.17498291015625,4.846250610351563,5.307590942382813,7.29961669921875,-1.7867742919921874,9.586830444335938,7.407823486328125,6.637174682617188,10.4255078125
tommaso,7.533623046875,-2.8021490478515627,8.023275756835938,5.838712158203125,-5.330140380859375,5.848489990234375,4.910389709472656,4.604740295410156,7.103884887695313,-1.4788345336914062,9.0273388671875,6.191358642578125,6.127622680664063,9.693213500976562
tommaso,6.74133056640625,-2.47638427734375,9.10570556640625,6.364227294921875,-5.330140380859375,6.05764892578125,4.672160034179687,5.043060913085937,6.837841796875,-1.4170623779296876,9.468619384765624,7.3450244140625,6.344599609375,9.971376953125
tommaso,6.460176391601562,-2.4028854370117188,8.444884033203126,5.432544555664062,-5.330140380859375,6.307498168945313,4.808873291015625,4.610847473144531,7.10445068359375,-1.9768804931640624,9.00682373046875,6.28099853515625,5.818634033203125,9.231582641601562
giovanna,5.752210693359375,-1.4881768798828126,7.202142333984375,8.120233154296875,-5.330140380859375,8.118910522460938,6.445177612304687,2.154166564941406,5.55903076171875,-0.6830950164794922,7.98671630859375,2.8602703857421874,6.247015380859375,7.988262329101563
giovanna,6.750526733398438,-1.2583118438720704,8.049141235351563,8.760227661132813,-5.330140380859375,8.289000854492187,6.76607421875,2.610482177734375,7.483482666015625,-0.5601571655273437,8.650160522460938,3.52205322265625,6.777283325195312,8.702675170898438
tommaso,7.05227294921875,-2.651429443359375,8.748776245117188,6.095846557617188,-5.330140380859375,6.252890014648438,4.90561279296875,4.6158905029296875,7.390134887695313,-2.8235076904296874,8.26795654296875,5.333660888671875,6.020201416015625,9.267962646484374
tommaso,7.010140991210937,-2.5235992431640626,9.80041015625,6.429942016601562,-5.330140380859375,6.176953125,5.571339721679688,5.227639770507812,8.50716064453125,-1.9942518615722655,9.677116088867187,7.354571533203125,6.4367437744140625,10.6576123046875
tommaso,6.4616461181640625,-2.532921142578125,9.046373901367188,6.063137817382812,-5.330140380859375,6.11786376953125,5.200062866210938,5.128111572265625,7.5596484375,-2.4203143310546875,8.9758154296875,6.99853515625,6.10435302734375,9.997459716796875
tommaso,6.935580444335938,-2.724207458496094,7.953826904296875,5.750661010742188,-5.330140380859375,5.07097900390625,5.107349548339844,4.973963012695313,7.179202270507813,-1.7974325561523437,8.68226806640625,6.7377783203125,5.3238592529296875,9.487307739257812
luca,0.22794090270996092,-3.061673583984375,-0.7300717163085938,5.224681396484375,-5.330140380859375,6.633238525390625,6.848245849609375,-4.282518920898437,-3.008359375,-2.6879150390625,0.10458183288574219,-4.5083529663085935,-0.639251708984375,-0.1724371337890625
luca,2.1146400451660154,-2.0820928955078126,1.6030284118652345,6.13503173828125,-5.330140380859375,5.881792602539062,8.0209716796875,-0.7362445831298828,-2.323136901855469,-0.37969619750976563,1.7926412963867187,-0.49783226013183596,1.3908322143554688,0.8170372772216797
luca,-0.41102306365966795,-1.4633877563476563,0.43570045471191404,0.5535285186767578,-5.330140380859375,5.15318359375,5.228829956054687,-2.9358416748046876,-3.697845458984375,0.47593605041503906,-0.9725057220458985,-3.2352001953125,-0.15499740600585937,-0.004852294921875
tommaso,6.56838623046875,-2.6398443603515624,9.53481689453125,6.209963989257813,-5.330140380859375,6.020830078125,5.058229370117187,4.824853820800781,8.5967626953125,-2.1310426330566408,9.4028955078125,7.271516723632812,6.3377685546875,10.12841064453125
marco,5.261942138671875,-2.0187997436523437,7.87783203125,5.664525756835937,-5.330140380859375,5.862225952148438,3.7990283203125,3.346058349609375,11.070206298828126,-2.356509094238281,8.666038208007812,5.459959716796875,6.214994506835938,7.468231811523437
barbara,-0.3925871276855469,-0.019241600036621093,0.8542740631103516,-2.34998291015625,-5.330140380859375,0.3385245132446289,-1.5886245727539063,-0.36113418579101564,-1.2404496765136719,-3.3585934448242187,1.65215576171875,-5.3930322265625,-1.2582388305664063,-0.7710942840576172
barbara,-2.093594970703125,0.28484210968017576,-1.153642120361328,-4.84050048828125,-5.330140380859375,-1.5790184020996094,-3.1798696899414063,0.1549680519104004,-4.45830322265625,-1.4129450988769532,-1.8097845458984374,-4.0726995849609375,-0.5715073394775391,-1.9001959228515626
barbara,-2.708323974609375,-0.03423748016357422,-0.5306854248046875,-5.697482299804688,-5.330140380859375,-0.45947601318359377,-2.4287759399414064,-1.7193209838867187,-4.3999462890625,-3.291698303222656,-1.3026651000976563,-5.264440307617187,-2.0598992919921875,-2.564559326171875
barbara,-3.4077462768554687,0.013311920166015625,-2.9221768188476562,-4.16548095703125,-5.330140380859375,-4.260419921875,-3.8984765625,-0.2630590057373047,-4.081265869140625,-1.6624481201171875,-2.575965576171875,-5.000143432617188,-2.7738116455078123,-4.598026428222656
barbara,-2.3304129028320313,0.020897254943847657,0.2805823516845703,-1.8705165100097656,-5.330140380859375,-0.5085816955566407,-0.830701675415039,0.8025166320800782,-2.552684020996094,-2.087054443359375,0.565792465209961,-1.3655422973632811,-0.34259891510009766,-0.8633567810058593
marco,5.041428833007813,-2.283919372558594,7.808890380859375,5.8515185546875,-5.330140380859375,5.603550415039063,3.97212646484375,3.2018145751953124,11.753204345703125,-2.63590576171875,8.140516357421875,4.817705993652344,6.103831176757812,7.496382446289062
marco,5.80789794921875,-2.169173583984375,8.538287963867187,6.879710083007812,-5.330140380859375,5.067976379394532,4.506779174804688,4.10384521484375,11.002574462890625,-2.022949981689453,9.08063720703125,5.5731005859375,6.171305541992187,8.101110229492187
marco,6.345891723632812,-1.8731039428710938,8.959984130859375,7.740948486328125,-5.330140380859375,6.373507690429688,5.083980407714844,3.82994140625,11.55083251953125,-1.84805908203125,9.447855834960938,6.104540405273437,6.956093139648438,8.871121215820313
marco,5.551702270507812,-2.4770196533203124,7.777950439453125,5.349448852539062,-5.330140380859375,5.480562133789062,3.5661077880859375,3.4212606811523436,10.969669189453125,-2.5216943359375,8.532802124023437,4.2069613647460935,5.828804931640625,7.327034912109375
marco,5.469651489257813,-2.4223478698730467,7.92582763671875,5.17050537109375,-5.330140380859375,5.3166845703125,3.481793212890625,3.0190975952148436,11.236590576171874,-2.3862539672851564,8.439260864257813,4.127141723632812,5.82127685546875,7.1011376953125
marco,6.422967529296875,-1.9506135559082032,9.496215209960937,7.830142822265625,-5.330140380859375,5.991333618164062,4.605246887207032,3.8753976440429687,11.47437744140625,-1.4838497924804688,9.947713623046875,6.117980346679688,7.10653076171875,8.777291259765626
marco,6.062453002929687,-1.8390425109863282,9.556930541992188,7.518340454101563,-5.330140380859375,5.728571166992188,4.269207763671875,4.250578002929688,11.047957763671874,-1.5975497436523438,9.844190063476562,6.170083618164062,6.090977783203125,8.879274291992187
marco,5.054728393554687,-2.0773321533203126,8.593677978515625,6.167723388671875,-5.330140380859375,5.467469482421875,3.53520263671875,3.7984844970703127,10.95189697265625,-2.3793685913085936,8.814437866210938,4.7829736328125,5.74857666015625,7.911976318359375
marco,5.193340454101563,-2.190666046142578,8.452347412109376,6.190693969726563,-5.330140380859375,5.246445922851563,4.0921868896484375,3.1720040893554686,11.25292236328125,-2.1031369018554686,8.813310546875,4.5030520629882815,6.683721313476562,7.972134399414062
marco,5.451536254882813,-1.9856367492675782,8.650263671875,6.119437866210937,-5.330140380859375,5.587659301757813,3.926305236816406,3.41867919921875,10.81794677734375,-2.139731597900391,9.205533447265625,5.673162231445312,6.449661865234375,8.199204711914062
marco,5.572706909179687,-2.118997802734375,8.293486938476562,5.98638671875,-5.330140380859375,5.626710815429687,3.8573016357421874,3.2768524169921873,11.21762939453125,-2.24703125,8.78183349609375,4.089038696289062,6.0180615234375,7.4890985107421875
marco,6.27998291015625,-1.51706298828125,9.16102294921875,7.80309814453125,-5.330140380859375,6.893843383789062,5.208482055664063,3.482818908691406,11.7016015625,-1.5678111267089845,9.689199829101563,5.506052856445312,7.05847412109375,8.810504760742187
maurizio,-5.5605078125,-2.691084899902344,-4.946783447265625,-6.70665283203125,-5.330140380859375,-1.7487277221679687,-1.0323233032226562,-6.02678955078125,-9.7797412109375,3.690699157714844,-6.550800170898437,-9.291688232421874,-4.958447875976563,-8.888424682617188
maurizio,-5.210098876953125,-2.991349182128906,-5.281834106445313,-6.1393670654296875,-5.330140380859375,-1.8038250732421874,-0.21772048950195313,-6.030860595703125,-10.8164990234375,2.03261474609375,-4.668044738769531,-8.079496459960938,-2.885546875,-6.19765625
maurizio,-4.484501953125,-2.555028381347656,-2.3103874206542967,-5.475975341796875,-5.330140380859375,0.8294931793212891,-1.1167817687988282,-5.875155029296875,-8.93677001953125,4.386178894042969,-5.204248657226563,-7.807537841796875,-1.8288557434082031,-6.092434692382812
maurizio,-4.365169372558594,-2.4643843078613283,-2.901319580078125,-3.5805706787109375,-5.330140380859375,-0.5657438659667968,-0.5533210754394531,-3.53447509765625,-7.518872680664063,5.344346923828125,-4.947604370117188,-9.983760986328125,-2.159427490234375,-6.2692327880859375
maurizio,-3.4907012939453126,-2.1468348693847656,-2.415186462402344,-4.719212036132813,-5.330140380859375,-0.3648732757568359,-1.2206623840332032,-4.734007873535156,-6.5351220703125,4.4178903198242185,-4.401878051757812,-8.557737426757813,-0.6663349151611329,-4.997914123535156
maurizio,-6.216859741210937,-4.808411254882812,-3.7967562866210938,-6.584288330078125,-5.330140380859375,-5.808626098632812,-3.232877197265625,-8.360244140625,-10.33154296875,3.6580841064453127,-7.836217651367187,-8.5701904296875,-4.306080017089844,-7.602952880859375
lavi,6.97314697265625,-2.1455694580078126,7.500022583007812,8.37970458984375,8.875496826171876,5.9236077880859375,6.264518432617187,3.778966979980469,7.196815795898438,-1.66011962890625,8.67864501953125,4.99959228515625,4.92179931640625,7.708026123046875
lavi,7.982304077148438,-1.7182696533203126,8.507205200195312,8.776566772460937,9.573179321289063,7.735747680664063,6.636312255859375,3.7241796875,7.97034912109375,-1.7797763061523437,9.45864501953125,5.53718017578125,5.689207153320313,8.600740356445312
marco,5.460401611328125,-2.1458840942382813,8.618495483398437,7.2857080078125,6.748348388671875,5.887166748046875,3.868719177246094,3.490157165527344,10.985072021484376,-2.1434452819824217,8.7862744140625,4.819346313476562,6.512652587890625,8.0894580078125
lavi,7.810343017578125,-1.640690460205078,9.135750732421876,8.619759521484376,9.30323974609375,7.530806884765625,6.772659912109375,3.7972152709960936,8.436853637695313,-1.2429754638671875,9.689459228515625,5.237008666992187,6.062235717773437,8.634158325195312
lavi,8.191143798828126,-1.9284320068359375,8.282650146484375,8.322925415039062,9.330801391601563,7.247432250976562,6.39012451171875,3.444898986816406,8.189814453125,-2.0027729797363283,9.113908081054687,5.394971313476563,5.599609375,8.319950561523438
lavi,8.548690795898438,-1.634664306640625,9.111530151367187,8.829500732421875,9.117119140625,7.664955444335938,6.68919189453125,3.5262237548828126,9.104700317382813,-1.4859504699707031,9.727682495117188,5.0950079345703125,6.552174072265625,8.942462768554687
marco,5.221871948242187,-1.9822653198242188,8.70731201171875,6.698497924804688,6.980314331054688,4.788429870605468,4.367673950195313,3.044980163574219,10.7930615234375,-1.8329962158203126,8.72467041015625,4.023280639648437,6.586421508789062,7.9788970947265625

marco,5.151620483398437,-2.1791720581054688,8.092175903320312,7.035775146484375,6.427139892578125,5.295663452148437,3.6986029052734377,3.483697814941406,11.0402783203125,-2.3214071655273436,8.805362548828125,4.372003784179688,6.47734619140625,8.134896240234376

marco,5.72048583984375,-2.1365740966796873,8.210172729492188,6.558232421875,7.061370849609375,4.868641662597656,4.374532165527344,3.4100018310546876,11.15208251953125,-2.252119598388672,8.833152465820312,4.648296203613281,6.055403442382812,7.775953369140625

marco,7.073766479492187,-1.5407672119140625,9.740513916015624,8.051153564453125,7.8374176025390625,6.575931396484375,5.044469604492187,4.340452880859375,11.332557373046875,-1.2618423461914063,10.177183227539063,6.919871826171875,7.10045654296875,9.37718994140625

marco,6.74707275390625,-1.7322088623046874,9.468323974609374,8.33014892578125,7.69183349609375,6.106531982421875,5.067253723144531,4.028731384277344,11.366988525390624,-1.6234698486328125,9.90390625,6.0787109375,6.918659057617187,9.047913818359374

marco,6.09794921875,-1.9455863952636718,8.790689697265625,7.800984497070313,7.19296142578125,5.62621826171875,4.808753356933594,3.617074279785156,10.85467529296875,-1.61134521484375,9.023619995117187,5.3572314453125,6.386296997070312,8.586303100585937

marco,3.9546502685546874,-0.6338672637939453,6.935305786132813,7.330233154296875,5.957662353515625,5.7857958984375,5.225345458984375,1.8017098999023438,8.531448974609376,-0.1120318603515625,6.876528930664063,2.2959716796875,6.697440185546875,6.343020629882813

marco,3.868540954589844,-1.3747454833984376,7.624880981445313,6.67710205078125,5.724178466796875,4.724096069335937,4.112096557617187,2.238431243896484,9.584231567382812,-1.4680366516113281,7.99909912109375,2.529668731689453,6.202581787109375,7.463876953125

marco,3.468500061035156,-3.9918170166015625,6.757018432617188,4.941316528320312,4.251017150878906,2.8500341796875,2.0402227783203126,0.20943187713623046,7.762376708984375,-3.434552001953125,6.10880859375,0.5123920440673828,5.015368957519531,5.527144775390625

marco,4.481133728027344,-1.9607939147949218,7.499020385742187,6.536268310546875,6.619365844726563,4.959673461914062,3.9406939697265626,2.3815180969238283,9.839058837890626,-2.1747364807128906,7.5373602294921875,2.8727850341796874,5.752737426757813,6.994404296875

marco,4.034183044433593,-1.4912411499023437,6.951336669921875,7.028972778320313,6.0998291015625,5.333363037109375,3.7250823974609375,1.8168861389160156,9.72755859375,-1.8683596801757814,6.788309936523437,2.035667266845703,5.807154541015625,6.624368896484375

marco,6.38130859375,-2.27963623046875,8.917598876953125,7.174581909179688,7.012858276367187,5.787486572265625,4.3610708618164065,3.9767279052734374,10.4850048828125,-1.7245503234863282,9.231902465820312,5.692365112304688,5.738343505859375,8.508141479492188

marco,5.871461181640625,-2.327525329589844,8.702495727539063,6.132569580078125,7.062470703125,5.159201049804688,3.8021240234375,3.9689041137695313,11.0016650390625,-2.7442340087890624,9.232200927734375,6.235362548828125,5.8502685546875,8.079778442382812

marco,4.300804748535156,-1.5678094482421876,7.552164306640625,7.152166137695312,6.458465576171875,5.582445678710937,3.9974380493164063,2.3895298767089845,9.626090087890624,-1.68831787109375,8.226995849609375,2.2099363708496096,5.890291137695312,6.836370849609375

rluzist1,6.046734008789063,-2.152357940673828,7.8611383056640625,2.5139837646484375,5.0950048828125,5.559794311523437,4.443221740722656,3.232213439941406,2.7688348388671873,-1.9257110595703124,7.9199072265625,6.88985595703125,3.63992919921875,6.144259643554688
rluzist1,5.3132470703125,-2.0668115234375,8.76986083984375,4.881788635253907,7.32626220703125,4.205003662109375,4.251971435546875,5.731033935546875,7.465237426757812,-2.6118133544921873,8.853051147460938,8.999459838867187,5.465115966796875,8.887889404296875
rluzist1,5.416651611328125,-2.2063003540039063,8.662747802734375,4.953519897460938,6.8091943359375,4.856483764648438,4.638637084960937,5.8598779296875,7.25168212890625,-2.497245025634766,8.800955810546874,9.48262451171875,5.106959228515625,9.186015625
rluzist1,6.619398803710937,-2.3391831970214843,9.369324951171874,5.109419250488282,7.385256958007813,5.450083618164062,5.087542419433594,5.293217163085938,7.948308715820312,-2.207272644042969,9.1997900390625,8.8643212890625,5.401837158203125,9.27407470703125
rluzist1,6.658281860351562,-2.2955056762695314,9.290157470703125,5.295114135742187,7.006556396484375,5.247774658203125,4.239523010253906,5.589605712890625,7.823740234375,-2.074102020263672,9.415292358398437,8.43453125,5.829329223632812,9.225885620117188
rluzist1,5.38380615234375,-2.2678839111328126,9.006858520507812,4.716591796875,7.081767578125,4.271607055664062,4.182460021972656,5.76435791015625,6.665765991210938,-2.350131378173828,8.614025268554688,9.29919189453125,5.1745947265625,9.040457153320313
rluzist1,6.1355322265625,-2.320681915283203,9.231504516601563,5.128826904296875,6.939935302734375,5.0797265625,4.767958068847657,5.74958740234375,7.254310913085938,-2.772432556152344,8.965809326171875,9.493960571289062,5.293435668945312,9.266806640625
rluzist1,5.901921997070312,-2.352117614746094,9.043245239257812,4.75654541015625,6.164376831054687,4.640462341308594,4.771293640136719,5.668614501953125,5.304362182617187,-1.8884967041015626,8.3794970703125,9.40589111328125,4.815731811523437,8.635814208984375
rluzist1,6.175485229492187,-2.5247337341308596,8.78073974609375,4.6886224365234375,5.365861206054688,4.391644592285156,3.77091552734375,5.280475463867187,6.933460693359375,-2.569954833984375,8.861353759765626,7.826751098632813,5.14075439453125,8.850565795898438
rluzist1,5.982293701171875,-2.1879373168945313,9.04943115234375,4.3863134765625,6.362369384765625,4.979781799316406,4.886560363769531,5.639768676757813,6.645167236328125,-2.042563018798828,8.924423217773438,8.839605712890625,5.155857543945313,9.23944580078125
rluzist1,6.064594116210937,-2.2735835266113282,9.186522827148437,4.854044494628906,6.691624755859375,4.916031799316406,4.373281555175781,5.572798461914062,7.32697509765625,-2.420621185302734,8.725142822265624,8.746091918945313,5.076579284667969,9.148598022460938
rluzist1,5.5855029296875,-2.6260650634765623,8.534111938476563,4.33781494140625,5.791837768554688,2.9339373779296873,4.2322540283203125,5.094021606445312,6.37540283203125,-2.308250732421875,8.042283325195312,6.99546630859375,4.558732604980468,8.330994873046874
rluzist1,6.161129760742187,-2.339144592285156,9.201859130859376,4.222743530273437,7.103729248046875,4.544086608886719,4.8084619140625,5.672954711914063,7.37156494140625,-2.18746826171875,8.856488037109376,8.686445922851563,5.094262390136719,9.239898071289062
tommaso,7.309976806640625,-2.35688232421875,10.024031982421874,7.231080932617187,8.414188232421875,6.226217041015625,5.665170288085937,5.272019653320313,8.562625732421875,-1.6688697814941407,9.785798950195312,7.795096435546875,6.695413818359375,10.74171630859375
tommaso,6.876181640625,-2.1079145812988282,9.375494995117187,6.391426391601563,7.387769775390625,6.090457153320313,4.80136474609375,5.264775390625,7.55576171875,-1.9528842163085938,9.233660278320313,7.688609619140625,6.14452880859375,10.364937744140626
tommaso,7.949423828125,-2.6424017333984375,9.78297607421875,6.432481079101563,7.951297607421875,5.9926123046875,5.354842529296875,5.10840576171875,8.982014770507812,-1.9100636291503905,9.83322021484375,7.214097900390625,5.721793212890625,10.1859814453125
