typer_user,username,score,word_lenght
tommaso,tommaso,7.617208753313337,8
tommaso,tommaso,7.515210832868305,8
tommaso,tommaso,7.644283839634487,8
tommaso,tommaso,7.4986724853515625,8
tommaso,tommaso,7.657768794468471,8
tommaso,tommaso,7.235296521868024,8
tommaso,tommaso,7.512932368687221,8
tommaso,tommaso,7.668695722307477,8
tommaso,tommaso,7.536210196358817,8
giovanna,giovanna,-0.34156267983572824,5
giovanna,giovanna,-0.4438263348170689,5
giovanna,giovanna,-0.6159859384809222,5
giovanna,giovanna,-0.24205037525721956,5
livia,livia,6.731988089425223,8
livia,livia,6.771512712751116,8
marco,livia,4.898677280970982,8
tommaso,tommaso,7.621406010219029,8
marco,marco,9.28665052141462,8
marco,giovanna,0.6900373186383929,5
marco,tommaso,4.947157723563059,8
marco,luca,3.99606078011649,6
marco,maurizio,-0.5283829144069127,7
marco,michelelazazzera,0.6788805552891323,7
marco,rluzist1,2.6951070513044084,11
marco,tommaso,4.2810322897774835,8
marco,michelelazazzera,0.7435568400791713,7
rluzist1,rluzist1,9.168890816824776,11
rluzist1,rluzist1,9.9389157976423,11
rluzist1,rluzist1,9.944129943847658,11
rluzist1,rluzist1,8.181712559291295,11
rluzist1,rluzist1,9.727180480957031,11
rluzist1,rluzist1,10.061673845563616,11
rluzist1,tommaso,5.959642682756697,8
rluzist1,michelelazazzera,-0.46692040988377165,7
rluzist1,luca,2.898603711809431,6
maurizio,maurizio,0.23510197230747767,7
maurizio,maurizio,-6.976276942661831,7
maurizio,maurizio,0.48783070700509207,7
maurizio,maurizio,0.2217435155596052,7
maurizio,maurizio,0.4627187592642647,7
barbara,barbara,1.861746106828962,9
barbara,barbara,1.874636513846261,9
barbara,barbara,-1.9570492335728236,9
barbara,barbara,-0.18405907494681223,9
barbara,barbara,1.8332129887172155,9
livia,livia,6.605536324637277,8
livia,livia,5.638493129185269,8
livia,livia,6.350955963134766,8
livia,livia,6.631105150495257,8
livia,livia,6.580624171665737,8
tommaso,livia,4.676131112234933,8
tommaso,marco,7.516663687569754,8
tommaso,maurizio,-0.9177820682525635,7
tommaso,giovanna,-1.1474077701568604,5
tommaso,livia,5.3494704110281805,8
tommaso,michelelazazzera,-1.143424431482951,7
tommaso,livia,4.840302058628628,8
tommaso,luca,5.618862915039062,6
tommaso,marco,4.412764140537807,8
tommaso,giovanna,-0.9580716490745544,5
tommaso,tommaso,7.290031433105469,8
tommaso,rluzist1,5.005673217773437,11
tommaso,marco,7.488839830671038,8
tommaso,maurizio,-0.5728180408477783,7
tommaso,livia,4.412782396589007,8
tommaso,livia,4.879724230085101,8
tommaso,maurizio,-0.64639679590861,7
tommaso,luca,5.9680427551269535,6
tommaso,tommaso,7.463297162737165,8
tommaso,maurizio,-0.6072528759638468,7
tommaso,rluzist1,3.6729583740234375,11
tommaso,rluzist1,4.406475067138672,11
tommaso,rluzist1,4.017203903198242,11
tommaso,tommaso,7.123382568359375,8
tommaso,livia,4.841870444161551,8
tommaso,rluzist1,5.764981460571289,11
tommaso,maurizio,-1.178798755009969,7
tommaso,marco,5.42791257585798,8
tommaso,giovanna,-0.3611266613006592,5
tommaso,tommaso,7.6939817156110495,8
tommaso,tommaso,7.360824040004185,8
tommaso,rluzist1,5.226834106445312,11
tommaso,tommaso,7.683688027518136,8
tommaso,livia,5.096827370779855,8
marco,michelelazazzera,1.0216948986053467,7

marco,barbara,-0.2184295952320099,9

marco,giovanna,-0.8644319176673889,5

marco,livia,5.391771589006696,8

marco,luca,5.03606071472168,6

marco,maurizio,-0.7440620263417562,7

marco,rluzist1,3.3499584197998047,11

marco,tommaso,5.170622144426618,8

marco,barbara,-2.0411808490753174,9

marco,giovanna,3.797882556915283,5

marco,livia,4.447046824863979,8

marco,luca,5.919976806640625,6

marco,maurizio,-1.119828224182129,7

marco,michelelazazzera,0.9186808268229166,7

marco,rluzist1,2.3380855560302733,11

marco,rluzist1,1.2671287536621094,11

marco,tommaso,5.257179260253906,8

maurizio,barbara,-3.903750419616699,9

maurizio,giovanna,-2.6818957328796387,5

maurizio,michelelazazzera,0.4398273229598999,7

maurizio,luca,-18.502818298339843,6

luca,michelelazazzera,0.36666250228881836,7

tommaso,marco,5.302327837262835,8
tommaso,shadow2030,2.4433393478393555,9
shadow2030,0.6014971137046814,9
tommaso,shadow2030,-0.5250929355621338,6
shadow2030,shadow2030,-0.09216456413269043,6
shadow2030,tommaso,6.1302675519670755,8
tommaso,marco,4.1661480494907925,8
tommaso,marco,7.86340822492327,8
tommaso,luca,5.589762496948242,6
mara,mara,2.1252389635358537,8
mara,mara,3.056473868233817,8
tommaso,tommaso,6.645598820277622,8
pietro,pietro,7.8823089599609375,8
tommaso,luca,5.424666976928711,6
pietro,marco,8.097933088030134,8
tommaso,marco,5.111854008265904,8
tommaso,tommaso,7.342649187360491,8
tommaso,rluzist1,5.1573528289794925,11
tommaso,giovanna,-2.8919098377227783,5
tommaso,livia,4.247984749930246,8
tommaso,ciro,6.023022121853298,10
tommaso,mara,2.461860111781529,8
tommaso,ciro,6.382269541422526,10
tommaso,ciro,6.203287336561415,10
tommaso,ciro,5.56237072414822,10
tommaso,ciro,6.035658942328559,10
tommaso,rluzist1,2.3032922744750977,11
tommaso,pietro,7.812501634870257,8
tommaso,pietro,8.212706974574498,8
tommaso,pietro,7.695134844098773,8
tommaso,marco,5.349952152797154,8
marco,marco,9.933978489467076,8
marco,marco,9.55546133858817,8
